0       1       2       -1
0       2       3       -1
0       3       4       -1
0       4       5       -1
0       5       6       -1
0       6       1       -1
1       2       8       7
2       8       9       -1
2       9       10      -1
2       3       11      10
3       4       12      11
5       4       12      13
5       13      14      -1
5       14      15      -1
6       5       15      16
1       6       16      7
7       8       18      17
8       9       19      18
9       10      20      19
10      11      21      20
11      12      22      21
12      13      23      22
13      14      24      23
14      15      25      24
15      16      26      25
16      7       17      26
17      18      28      27
18      19      28      -1
19      20      28      -1
20      21      29      28
21      22      30      29
22      23      31      30
23      24      31      -1
24      25      31      -1
25      26      32      31
17      26      32      27
27      28      33      -1
28      29      33      -1
29      30      33      -1
30      31      33      -1
31      32      33      -1
32      27      33      -1
